№ | Latitude | Longitude | Elevation
0 | 48.164214 | 24.536044 | 1264.0
1 | 48.164983 | 24.534836 | 1285.0
2 | 48.165605 | 24.534068 | 1285.0
3 | 48.166228 | 24.532915 | 1333.0
4 | 48.166777 | 24.531927 | 1310.0
5 | 48.167326 | 24.530884 | 1318.0
6 | 48.167011 | 24.530061 | 1318.0
7 | 48.166053 | 24.528039 | 1339.0
8 | 48.166655 | 24.526064 | 1375.0
9 | 48.166497 | 24.523574 | 1417.0
10 | 48.166128 | 24.520214 | 1486.0
11 | 48.165416 | 24.51717 | 1524.0
12 | 48.164546 | 24.51464 | 1553.0
13 | 48.163412 | 24.51298 | 1630.0
14 | 48.162331 | 24.511715 | 1757.0
15 | 48.162015 | 24.509462 | 1794.0
16 | 48.162147 | 24.506932 | 1828.0
17 | 48.161751 | 24.504244 | 1887.0
18 | 48.161197 | 24.501793 | 1975.0
19 | 48.16058 | 24.500537 | 1975.0
20 | 48.16025 | 24.500106 | 2031.0
